rid,in_june,in_rebuild
6270,FALSE,TRUE
8382,TRUE,TRUE
11689,TRUE,TRUE
11740,TRUE,TRUE
13350,TRUE,TRUE
13372,TRUE,TRUE
27234,TRUE,TRUE
27394,TRUE,TRUE
27960,FALSE,TRUE
28202,TRUE,TRUE
28611,TRUE,TRUE
32800,TRUE,TRUE
33659,TRUE,TRUE
44155,TRUE,TRUE
46120,TRUE,TRUE
49177,TRUE,TRUE
49897,TRUE,TRUE
52567,TRUE,TRUE
54046,TRUE,TRUE
63015,TRUE,TRUE
63155,TRUE,TRUE
63197,TRUE,TRUE
66943,TRUE,TRUE
69219,TRUE,TRUE
72814,TRUE,TRUE
73775,TRUE,TRUE
74033,TRUE,TRUE
74047,TRUE,TRUE
80751,TRUE,TRUE
83495,TRUE,TRUE
90014,TRUE,TRUE
90627,TRUE,TRUE
91428,TRUE,TRUE
91557,TRUE,TRUE
92819,TRUE,TRUE
93088,TRUE,TRUE
93309,TRUE,TRUE
99304,TRUE,TRUE
99388,TRUE,TRUE
99921,TRUE,TRUE
99940,TRUE,TRUE
100023,TRUE,TRUE
104489,TRUE,TRUE
105512,TRUE,TRUE
105514,TRUE,TRUE
105634,TRUE,TRUE
107096,TRUE,TRUE
108538,TRUE,TRUE
108539,TRUE,TRUE
109314,TRUE,TRUE
109315,TRUE,TRUE
109316,TRUE,TRUE
109319,TRUE,TRUE
109321,TRUE,TRUE
109325,TRUE,TRUE
109328,TRUE,TRUE
109333,TRUE,TRUE
109339,TRUE,TRUE
109726,TRUE,TRUE
109935,TRUE,TRUE
110519,TRUE,TRUE
110542,TRUE,TRUE
110685,TRUE,TRUE
111541,TRUE,TRUE
114146,TRUE,TRUE
114381,TRUE,TRUE
115291,TRUE,TRUE
115919,TRUE,TRUE
115940,TRUE,TRUE
115942,TRUE,TRUE
115951,TRUE,TRUE
115952,TRUE,TRUE
115953,TRUE,TRUE
115961,TRUE,TRUE
115977,TRUE,TRUE
116803,TRUE,TRUE
117070,TRUE,TRUE
117151,TRUE,TRUE
117771,TRUE,TRUE
118966,TRUE,TRUE
119019,TRUE,TRUE
119646,TRUE,TRUE
119743,TRUE,TRUE
119767,TRUE,TRUE
119819,TRUE,TRUE
119843,TRUE,TRUE
119901,TRUE,TRUE
119902,TRUE,TRUE
119903,TRUE,TRUE
119922,TRUE,TRUE
119933,TRUE,TRUE
119934,TRUE,TRUE
119957,TRUE,TRUE
119963,TRUE,TRUE
119975,TRUE,TRUE
119997,TRUE,TRUE
120003,TRUE,TRUE
120026,TRUE,TRUE
121719,TRUE,TRUE
121740,TRUE,TRUE
121781,TRUE,TRUE
121853,TRUE,TRUE
121896,TRUE,TRUE
122817,FALSE,TRUE
122889,TRUE,TRUE
123603,TRUE,TRUE
124465,TRUE,TRUE
125162,TRUE,TRUE
125229,TRUE,TRUE
125232,TRUE,TRUE
125311,TRUE,TRUE
125313,TRUE,TRUE
125323,TRUE,TRUE
125481,TRUE,TRUE
125515,TRUE,TRUE
125621,TRUE,TRUE
126159,TRUE,TRUE
126306,TRUE,TRUE
126396,TRUE,TRUE
126528,TRUE,TRUE
126577,TRUE,TRUE
126601,TRUE,TRUE
126853,FALSE,TRUE
126881,FALSE,TRUE
126890,FALSE,TRUE
126895,FALSE,TRUE
127308,TRUE,TRUE
127422,TRUE,TRUE
127446,TRUE,TRUE
127448,TRUE,TRUE
127452,TRUE,TRUE
127462,TRUE,TRUE
127469,TRUE,TRUE
127479,TRUE,TRUE
127480,TRUE,TRUE
127487,TRUE,TRUE
127489,TRUE,TRUE
127493,TRUE,TRUE
127502,TRUE,TRUE
127504,TRUE,TRUE
127507,TRUE,TRUE
127509,TRUE,TRUE
127512,TRUE,TRUE
127514,TRUE,TRUE
127515,TRUE,TRUE
127517,TRUE,TRUE
127519,TRUE,TRUE
127521,TRUE,TRUE
127528,TRUE,TRUE
130384,TRUE,TRUE
130671,TRUE,TRUE
130672,TRUE,TRUE
131112,TRUE,TRUE
131351,TRUE,TRUE
131479,TRUE,TRUE
132073,TRUE,TRUE
132541,TRUE,TRUE
132591,TRUE,TRUE
132593,TRUE,TRUE
132605,TRUE,TRUE
132612,TRUE,TRUE
132620,TRUE,TRUE
132628,TRUE,TRUE
132629,TRUE,TRUE
132637,TRUE,TRUE
132642,TRUE,TRUE
132644,TRUE,TRUE
132647,TRUE,TRUE
132651,TRUE,TRUE
132653,TRUE,TRUE
132658,TRUE,TRUE
132661,TRUE,TRUE
132684,TRUE,TRUE
132685,TRUE,TRUE
132723,TRUE,TRUE
132805,TRUE,TRUE
133944,TRUE,TRUE
135410,TRUE,TRUE
135411,TRUE,TRUE
135437,TRUE,TRUE
136465,TRUE,TRUE
136829,TRUE,TRUE
136980,TRUE,TRUE
137059,TRUE,TRUE
137200,TRUE,TRUE
137210,TRUE,TRUE
137283,TRUE,TRUE
137297,TRUE,TRUE
137322,TRUE,TRUE
137345,TRUE,TRUE
140063,TRUE,TRUE
140157,TRUE,TRUE
140231,TRUE,TRUE
142569,TRUE,TRUE
143034,TRUE,TRUE
143108,TRUE,TRUE
143715,TRUE,TRUE
144784,TRUE,TRUE
146785,TRUE,TRUE
146840,TRUE,TRUE
148257,TRUE,TRUE
148754,TRUE,TRUE
149862,TRUE,TRUE
150074,TRUE,TRUE
150420,TRUE,TRUE
150421,TRUE,TRUE
150592,TRUE,TRUE
151666,TRUE,TRUE
151880,TRUE,TRUE
151886,TRUE,TRUE
151912,TRUE,TRUE
151950,TRUE,TRUE
151953,TRUE,TRUE
151960,TRUE,TRUE
151968,TRUE,TRUE
151971,TRUE,TRUE
151986,TRUE,TRUE
152003,TRUE,TRUE
152004,TRUE,TRUE
152008,TRUE,TRUE
152032,TRUE,TRUE
152043,TRUE,TRUE
152190,TRUE,TRUE
152211,TRUE,TRUE
152225,TRUE,TRUE
154461,TRUE,TRUE
154471,TRUE,TRUE
154971,TRUE,TRUE
154998,TRUE,TRUE
155200,TRUE,TRUE
156669,TRUE,TRUE
157017,TRUE,TRUE
157289,TRUE,TRUE
157290,TRUE,TRUE
157433,TRUE,TRUE
157653,TRUE,TRUE
160079,TRUE,TRUE
160293,TRUE,TRUE
160508,TRUE,TRUE
160572,TRUE,TRUE
160638,TRUE,TRUE
160639,TRUE,TRUE
160803,TRUE,TRUE
160986,TRUE,TRUE
162802,TRUE,TRUE
163154,TRUE,TRUE
163160,TRUE,TRUE
164593,TRUE,TRUE
164797,TRUE,TRUE
166375,TRUE,TRUE
168632,TRUE,TRUE
169837,TRUE,TRUE
169843,TRUE,TRUE
170192,TRUE,TRUE
170208,TRUE,TRUE
170211,TRUE,TRUE
170216,TRUE,TRUE
170227,TRUE,TRUE
170254,TRUE,TRUE
170255,TRUE,TRUE
170257,TRUE,TRUE
170258,TRUE,TRUE
170259,TRUE,TRUE
170283,TRUE,TRUE
170285,TRUE,TRUE
170289,TRUE,TRUE
170292,TRUE,TRUE
170294,TRUE,TRUE
170298,TRUE,TRUE
170299,TRUE,TRUE
170304,TRUE,TRUE
170308,TRUE,TRUE
170312,TRUE,TRUE
170314,TRUE,TRUE
170324,TRUE,TRUE
170328,TRUE,TRUE
170329,TRUE,TRUE
170330,TRUE,TRUE
170331,TRUE,TRUE
170333,TRUE,TRUE
170338,TRUE,TRUE
170351,TRUE,TRUE
170352,TRUE,TRUE
170355,TRUE,TRUE
170366,TRUE,TRUE
170424,TRUE,TRUE
170499,TRUE,TRUE
171372,TRUE,TRUE
171424,TRUE,TRUE
172870,TRUE,TRUE
173034,TRUE,TRUE
173038,TRUE,TRUE
173058,TRUE,TRUE
173940,TRUE,TRUE
174063,TRUE,TRUE
174226,TRUE,TRUE
174240,TRUE,TRUE
174244,TRUE,TRUE
174368,TRUE,TRUE
174790,TRUE,TRUE
175398,TRUE,TRUE
177215,TRUE,TRUE
177512,TRUE,TRUE
177961,TRUE,TRUE
178955,TRUE,TRUE
179265,TRUE,TRUE
179270,TRUE,TRUE
179276,TRUE,TRUE
179277,TRUE,TRUE
179281,TRUE,TRUE
179286,TRUE,TRUE
179291,TRUE,TRUE
179299,TRUE,TRUE
179300,TRUE,TRUE
179301,TRUE,TRUE
179315,TRUE,TRUE
179733,TRUE,TRUE
179739,TRUE,TRUE
179841,TRUE,TRUE
179893,TRUE,TRUE
180323,TRUE,TRUE
180397,TRUE,TRUE
180977,TRUE,TRUE
183706,TRUE,TRUE
184232,TRUE,TRUE
184241,TRUE,TRUE
184365,TRUE,TRUE
184374,TRUE,TRUE
184409,TRUE,TRUE
184753,TRUE,TRUE
186144,TRUE,TRUE
186926,TRUE,TRUE
188687,TRUE,TRUE
188697,TRUE,TRUE
189870,TRUE,TRUE
190233,TRUE,TRUE
190689,TRUE,TRUE
192949,FALSE,TRUE
193149,TRUE,TRUE
194717,TRUE,TRUE
194847,TRUE,TRUE
194873,TRUE,TRUE
195079,TRUE,TRUE
195253,TRUE,TRUE
195417,TRUE,TRUE
195648,TRUE,TRUE
195658,TRUE,TRUE
195666,TRUE,TRUE
195667,TRUE,TRUE
199434,FALSE,TRUE
200261,TRUE,TRUE
200269,TRUE,TRUE
200270,TRUE,TRUE
200380,TRUE,TRUE
200589,FALSE,TRUE
202981,TRUE,TRUE
204214,TRUE,TRUE
204217,FALSE,TRUE
204225,FALSE,TRUE
205349,TRUE,TRUE
208268,TRUE,TRUE
208363,TRUE,TRUE
208733,FALSE,TRUE
208890,TRUE,TRUE
209060,TRUE,TRUE
209605,TRUE,TRUE
209681,FALSE,TRUE
209736,TRUE,TRUE
209784,FALSE,TRUE
210551,TRUE,TRUE
211051,TRUE,TRUE
211054,TRUE,TRUE
211063,TRUE,TRUE
211068,TRUE,TRUE
214162,TRUE,TRUE
214175,TRUE,TRUE
214181,TRUE,TRUE
214182,TRUE,TRUE
214184,TRUE,TRUE
214185,TRUE,TRUE
214190,TRUE,TRUE
214192,TRUE,TRUE
214193,TRUE,TRUE
215166,TRUE,TRUE
216304,TRUE,TRUE
217193,TRUE,TRUE
217296,TRUE,TRUE
217666,TRUE,TRUE
217702,TRUE,TRUE
218774,TRUE,TRUE
218799,TRUE,TRUE
219167,TRUE,TRUE
221181,TRUE,TRUE
221194,TRUE,TRUE
226371,TRUE,TRUE
228792,TRUE,TRUE
229147,TRUE,TRUE
230645,TRUE,TRUE
231223,TRUE,TRUE
231553,TRUE,TRUE
231557,TRUE,TRUE
231559,TRUE,TRUE
231569,TRUE,TRUE
231677,TRUE,TRUE
231716,TRUE,TRUE
233408,FALSE,TRUE
233816,TRUE,TRUE
233852,TRUE,TRUE
236623,TRUE,TRUE
236638,TRUE,TRUE
236647,TRUE,TRUE
236660,TRUE,TRUE
236699,TRUE,TRUE
236770,TRUE,TRUE
236995,TRUE,TRUE
237014,TRUE,TRUE
237789,TRUE,TRUE
238908,TRUE,TRUE
239149,TRUE,TRUE
240006,TRUE,TRUE
240023,TRUE,TRUE
240229,TRUE,TRUE
241956,TRUE,TRUE
241962,TRUE,TRUE
241963,TRUE,TRUE
242702,TRUE,TRUE
242705,TRUE,TRUE
242815,TRUE,TRUE
242901,TRUE,TRUE
